,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
155,#UberEats,is,getting,free,publicity.,The,Guy,is,clearly,saying,#doordash.,Lol.,How,does,a,version,of,this,not,play…,https://t.co/xPTkl9HMNC,,,,,,
156,Come,eat,&amp;,shop,with,us!,We’re,open,until,6pm.,"

Order",online,#UberEats,#GrubHub,#DoorDash,"

#Brooklyn",#ParkSlope,,,,,,,,,,
157,.@UberEats,added,a,customer,data,feature,this,week,to,show,users,what,info,a,courier,sees,during,the,delivery,proce…,https://t.co/Go8n61Aevb,,,,,,
158,Clarification,about,the,viral,#UberEats,delivery,guy,during,a,basketball,game,https://t.co/coiw8P0Hco,,,,,,,,,,,,,,,
159,I,think,@BoPamatot,needs,to,#UberEats,a,meal,next,time,he,does,a,🏀,PA,job.,🤣🤣🤣,,,,,,,,,,
160,Uber,Eats,Delivery,Man,Trying,To,Deliver,Food,To,someone,During,A,Basketball,Game,😂,#uberdriver,#UberEats,#McDonalds,https://t.co/bYlx1jdOke,,,,,,,,
161,@qmpbabypoint,A,place,to,be,happy,🤍,#qmpbabypoint,#queenmargheritapizza,#qmp,#pizzanapoletana,#vino,#family…,https://t.co/HRurvMNXKR,,,,,,,,,,,,,
162,Uber,Eats,delivery,man,stops,college,basketball,game,after,walking,on,court,to,find,"customer

https://t.co/V1Qta22bpC

#UberEats",#NBA,,,,,,,,,,,
163,They’re,not,lovin’,it.,Now’s,not,the,time.,#Duquesne,"#UberEats
",https://t.co/VZ6HPy5L26,,,,,,,,,,,,,,,,
164,He,deserves,a,big,tip!,He,had,no,shame,to,his,game,#UberEats,https://t.co/hVodq9CDov,,,,,,,,,,,,,
165,Uber,Eats,delivery,man,walks,on,"court,",delays,college,game,#UberEats,#DeliveryDelay,#LoyolaChicago,#Duquesne,,https://t.co/9qXEWsimmb,,,,,,,,,,,
166,How,much,do,you,tip,this,guy?,"
An",Uber,Eats,driver,gets,on,the,court,during,yesterday's,game,between,Duquesne,and,L…,https://t.co/GMlRvFofED,,,,
167,Uber,Eats,delivery,man,stops,college,basketball,game,after,walking,on,court,to,find,customer,"
","
#UberEats…",https://t.co/WMoqkYqLvL,,,,,,,,,
168,#UberEats,delivery,guy,walks,onto,court,during,game.,😂,https://t.co/lHK0YDx3Wz,,,,,,,,,,,,,,,,,
169,@dkhos,@UberEats,Adjust,your,entire,company,while,you’re,at,it.,#Uber,#uberdriver,#UberEats,https://t.co/NE3JSBwvsU,,,,,,,,,,,,,
170,The,gold,standard,is,Kevin,Harlan,giving,commentary,on,a,streaker,during,an,NFL,"game.
THIS",is,a,very,close,2nd…,https://t.co/d0KHDwVtAm,,,,,,
171,The,Cry,Behind,The,Smile,Of,Uber,Drivers,In,Africa,As,It,Marks,A,"Decade

See",full,story,"💻

https://t.co/xf6kb3phC4…",https://t.co/Tw1vnURzeg,,,,,,,,
172,#ubereats,im,stepping,on,the,court.,https://t.co/qmaPmWdGgE,,,,,,,,,,,,,,,,,,,,
173,@braybc,Brilliant,"marketing.
No",need,for,future,advertising,by,#UberEats,on,the,court,floor,or,hanging,up,elsewhere…,https://t.co/jkifIeQ9WR,,,,,,,,,
174,@TimBenzPGH,your,call,last,night,made,@CBSMornings,"
#UberEats",,,,,,,,,,,,,,,,,,,
175,Enjoy,Delicious,Indian,Food,at,"home!

#TiffinRasoi",#barryisland,#Barrybados,#IndianCuisine,#Takeaway,#IndianFood…,https://t.co/M1Bu2lohdZ,,,,,,,,,,,,,,,
176,Greatest,uber,drive,of,all,time.,Get,this,man,a,superbowl,commercial,asap.,Incredible.,#UberEats,,#SuperBowl,https://t.co/FYMQ4jRykE,,,,,,,,,
177,Uber,Eats,driver,walks,onto,court,during,Duquesne-Loyola,Chicago,game,trying,to,deliver,McDonald’s,⁦@UberEats⁩,⁦…,https://t.co/rG6fgmfkB2,,,,,,,,,,
178,"GROUPON
Get",the,greatest,around,you,with,an,extra,20%,off,"activities,","beauty,","dining,",&amp;,more…,https://t.co/sCheE2vBUl,,,,,,,,,,,
179,#Ubereats,Grind,Let's,Make,it,Work,#WizzyJ,🛄,https://t.co/f9dkLQTlus,,,,,,,,,,,,,,,,,,
180,I,suppose,the,#UberEats,delivery,to,the,#CollegeBasketball,game,was,from,downtown?,#NCAA,,,,,,,,,,,,,,
181,So,good,I,had,to,share!,Check,out,all,the,items,I'm,loving,on,@Poshmarkapp,#poshmark,#fashion,#style,#shopmycloset…,https://t.co/fg95T0Pvg7,,,,,,,
182,Why,can’t,I,contact,customer,service,you,delivered,wrong,pizza,over,hour,ago,#ubereats,#fail,,,,,,,,,,,,
183,Don't,sleep,on,'em😋,#wings,#hotwings,#spicywings,#chickenwings,#chicken,#williamschicken,#wedeliver,#fastfood…,https://t.co/EdN8gMgttm,,,,,,,,,,,,,,
184,"#UberEats
Worst",service,ever!!!!!,Do,not,use!,Got,ripped,"off,",didnt,receive,part,of,my,order,due,to,the,guy,being,o…,https://t.co/jGfSzmUiIb,,,,,
185,#SLAKE,won't,"quit,",grind,always.,Look,another,look,at,things,to,come.,,What,will,you,order,when,it's,"out.
#SaitaPro…",https://t.co/egk8qRyzkU,,,,,,
186,This,was,absolutely,hilarious.,An,Uber,Eats,delivery,guy,walked,onto,the,court,at,@DuqMBB,game,tonight.,#ubereats…,https://t.co/rkduYPjhpw,,,,,,,,
187,🎙,@TimBenzPGH,(pbp),&amp;,@EllisCannon,(analyst),#CBB,#UberEats,"

h/t:",@andrewdieckhoff,"

https://t.co/KmFqthQcQC",,,,,,,,,,,,,,,,
188,Now,how,did,he,get,all,the,way,down,to,the,court...smh.,#ubereats,https://t.co/7OqFzOQS8F,,,,,,,,,,,,,
189,OMG,i,just,had,an,#UberEats,support,staff,person,tell,me,I,have,trust,issues,,,,,,,,,,,,
190,I,don’t,have,any,faith,in,humanity,this,is,the,dumbest,fucking,timeline,imaginable.,"

https://t.co/ceqNpX0kUY",#basketball,#UberEats,#NCAA,,,,,,,,,
191,I,will,Design,2,attractive,YouTube,Thumbnail,$5,"only.
My",service,,"here:-https://t.co/DGOJUwQ25l

#Georgia",#RIPRandy…,https://t.co/Ut6r1uFQZJ,,,,,,,,,,,,,
192,Can't,make,it,up🤣🤣🤣🤣,#UberEats,delivery,to,🦓during,College,D-1,game,(On,the,Court),has,to,be,the,first🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,https://t.co/8rockozV5W,,,,,,,
193,What,a,500,IQ,play,by,@UberEats,.,This’ll,be,all,over,social,media,by,tmmrw.,#UberEats,#CourtSideDelivery,https://t.co/MylmsaJJUG,,,,,,,,
194,This,is,hysterical!,"😅😂🤣
#UberEats",https://t.co/tCJZR8kMHA,,,,,,,,,,,,,,,,,,,,,,
195,A,#UberEats,guy,succesfully,delivered,McDonald's,to,someone,by,walking,right,into,the,court,during,the,Duquesne-Loy…,https://t.co/Q4KrK9uuX4,,,,,,,,,
196,In,the,category,under,“You,STUPID,"idiot!”,",I,present,this,"gem…

Yo",#UberEats,"dude,",WTF???,https://t.co/wKP3UEgFfX,,,,,,,,,,,,
197,Greatest,play,by,play,moment,in,the,history,of,college,basketball.,#UberEats,https://t.co/jSv3tJO3jv,,,,,,,,,,,,,,
198,#ubereats,bruh,my,food,hasnt,arrived,in,2,damn,hours,so,i,had,to,whip,something,up,myself,😭,i,hate,cooking,https://t.co/pMzdQr4sTR,,,,
199,#UberEats,delivery,to,the,court,,"🍔🍟🥤
Now",that’s,a,great,way,to,get,some,#Buzz,https://t.co/5xVDUCNnWq,,,,,,,,,,,
